,event,title,description
0,31201141834958,Market-Proof Your Retirement: TIAA Live Webinar,In retirement-and the years leading up to it-protecting your savings becomes just as important as growing it. Join us to learn how to create your own personal pension with TIAA Tr
1,31201151588073,Paying Yourself: Income Options in Retirement: TIAA Live Webinar,You can learn the rules that govern retirement assets and find out when to consider using different incom
2,31201165952813,Demystifying Life Insurance: TIAA Live Webinar,"Life insurance can play a critical role in your financial plan. You can learn how much you may need, what types exist, how muc"
3,31201173825427,Halfway There: A Retirement Checkpoint: TIAA Live Webinar,"Give yourself a mid-career financial checkup to evaluate your current savings, formulate a plan to help pursue your savings goals and "
4,31201252089868,Planning for Diminished Capacity and Illness: TIAA Live Webinar,"Aging can change many things in a person's life, including the ability to manage one's own money. You can learn about the important documents you should consider putting in"
5,31201261206354,Postcards from the Future: A Woman's Guide to Saving and Investing: TIAA Live Webinar,Fewer years in the workforce. Longer life spans. Women saving for retirement face unique challenges. You can learn what it takes to overcome these challenge
6,31201271336489,Responsible Investing - Portfolios with Purpose: TIAA Live Webinar,Did you know that responsible investing (RI) enables investors to align their social and environmental principals with their financial goals? This webinar will cover the factors that make an investment soci
7,31201296188040,Inside Money: Managing Income and Debt: TIAA Live Webinar,"Discover how to help make your money work harder by using your cash flow more effectively, developing good saving habits "
8,31201305042157,"Planning for Retirement - The Why, What, and How: TIAA Live Webinar","This webinar will discuss the challenges and risks people face in retirement, and how good planning can ad"
9,31201312133156,All About IRAs: TIAA Live Webinar,"You can learn the facts on IRAs, how an IRA may help you meet your retirement savings goals and which one may b"
10,31201755130796,Office Hours For Innovators & Entrepreneurs at LifeXLabs,LifeX Labs offers innovators and entrepreneurs the opportunity to consult with experienced and trusted service providers at no cost. These 30-minute meetings are open to anyone in the community and are held at LifeX on select Fridays from 1-5 PM.\n\nSept. 6
11,31202554016854,Talent Center Education Session for Department Admins - Part-Time Faculty,"This in-person session will give you a detailed overview on Pitt's new talent acquisition platform, Talent Center, with the help of a training specialist. The education session covers the steps in the part-time faculty hiring process that are completed in Talent Center. Pitt Worx Learning enables Pitt emplo"
12,31202556326225,Talent Center Education Session for Department Admins - Part-Time Faculty,"This virtual session will give you a detailed overview on Pitt's new talent acquisition platform, Talent Center, with the help of a training specialist. The education session covers the steps in the part-time faculty hiring process that are completed in Talent Center. Pitt Worx Learning enables Pitt employ"
13,31203003589203,"Professor Tera W. Hunter, Distinguished Scholar Lecture, 2020",Topic
14,31203051136138,Doctor of Occupational Therapy (OTD) Information Session,OTD Information Sessions are a great opportunity to meet with a current student and one of our faculty members who will answer your que
15,31210174407120,Afropop Ensemble Fall Concert,Mathew Tembo leads the Afropop Ensemble in renditions of popu
